Bot Name,Util,one,Log Analysis,Calculation2,Calculation3,Calculation1,Category,City (group),City,Country,Bot Owner,Discount,Number of Records (copy),Number of Records,Date,Postal Code,Process Name,Product ID,Product Name,Profit,Quantity,Region,Row ID,Sales,Schedule 1,Schedule,Ship Date,State,Status,Sub-Category
DV-13045,1,1,empty,empty,0.75,,Office Supplies,"Allentown, Altoona, Anaheim and 360 more",Los Angeles,France,Darrin Van Huff,0,2,1,12-06-2016,90036,CA-2016-138688,OFF-LA-10000240,Self-Adhesive Address Labels for Typewriters by Universal,6.8714,2,West,3,14.62,4,4,16-06-2016,California,Inactive,11
BH-11710,1,1,empty,empty,0.75,,Furniture,"Allentown, Altoona, Anaheim and 360 more",Los Angeles,United States,Brosina Hoffman,0,2,1,09-06-2014,90032,CA-2014-115812,FUR-FU-10001487,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",14.1694,7,West,6,48.86,5,5,14-06-2014,California,Active,10
BH-11710,1,1,empty,empty,0.75,,Office Supplies,"Allentown, Altoona, Anaheim and 360 more",Los Angeles,United States,Brosina Hoffman,0,2,1,09-06-2014,90032,CA-2014-115812,OFF-AR-10002833,Newell 322,1.9656,4,West,7,7.28,5,5,14-06-2014,California,Active,3
BH-11710,1,1,empty,empty,0.75,,Technology,"Allentown, Altoona, Anaheim and 360 more",Los Angeles,United States,Brosina Hoffman,0.2,2,1,09-06-2014,90032,CA-2014-115812,TEC-PH-10002275,Mitel 5320 IP Phone VoIP phone,90.7152,6,West,8,907.152,5,5,14-06-2014,California,Active,14
BH-11710,1,1,empty,empty,0.75,,Office Supplies,"Allentown, Altoona, Anaheim and 360 more",Los Angeles,United States,Brosina Hoffman,0.2,2,1,09-06-2014,90032,CA-2014-115812,OFF-BI-10003910,DXL Angle-View Binders with Locking Rings by Samsill,5.7825,3,West,9,18.504,5,5,14-06-2014,California,Active,4
BH-11710,1,1,empty,empty,0.75,,Office Supplies,"Allentown, Altoona, Anaheim and 360 more",Los Angeles,United States,Brosina Hoffman,0,2,1,09-06-2014,90032,CA-2014-115812,OFF-AP-10002892,Belkin F5C206VTEL 6 Outlet Surge,34.47,5,West,10,114.9,5,5,14-06-2014,California,Active,2
BH-11710,1,1,empty,empty,0.75,,Furniture,"Allentown, Altoona, Anaheim and 360 more",Los Angeles,United States,Brosina Hoffman,0.2,2,1,09-06-2014,90032,CA-2014-115812,FUR-TA-10001539,Chromcraft Rectangular Conference Tables,85.309200000,9,West,11,1706.184,5,5,14-06-2014,California,Active,17
BH-11710,1,1,empty,empty,0.75,,Technology,"Allentown, Altoona, Anaheim and 360 more",Los Angeles,United States,Brosina Hoffman,0.2,2,1,09-06-2014,90032,CA-2014-115812,TEC-PH-10002033,Konftel 250 Conference phone - Charcoal black,68.3568,4,West,12,911.424,5,5,14-06-2014,California,Active,14
AA-10480,1,1,empty,empty,0.75,,Office Supplies,"Allentown, Altoona, Anaheim and 360 more",Concord,United States,Andrew Allen,0.2,2,1,15-04-2017,28027,CA-2017-114412,OFF-PA-10002365,Xerox 1967,5.4432,3,South,13,15.552,5,5,20-04-2017,North Carolina,Active,13
HP-14815,1,1,empty,empty,0.75,,Office Supplies,"Allentown, Altoona, Anaheim and 360 more",Fort Worth,United States,Harold Pawlan,0.8,2,1,22-11-2015,76106,US-2015-118983,OFF-AP-10002311,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",-123.858,5,Central,15,68.81,4,4,26-11-2015,Texas,Active,2
HP-14815,1,1,empty,empty,0.75,,Office Supplies,"Allentown, Altoona, Anaheim and 360 more",Fort Worth,United States,Harold Pawlan,0.8,2,1,22-11-2015,76106,US-2015-118983,OFF-BI-10000756,Storex DuraTech Recycled Plastic Frosted Binders,-3.816,3,Central,16,2.544,4,4,26-11-2015,Texas,Active,4
ZD-21925,1,1,empty,empty,0.75,,Office Supplies,"Allentown, Altoona, Anaheim and 360 more",San Francisco,France,Zuschuss Donatelli,0,2,1,27-08-2014,94109,CA-2014-143336,OFF-AR-10003056,Newell 341,2.4824,2,West,19,8.56,5,5,01-09-2014,California,Active,3
ZD-21925,1,1,empty,empty,0.75,,Technology,"Allentown, Altoona, Anaheim and 360 more",San Francisco,France,Zuschuss Donatelli,0.2,2,1,27-08-2014,94109,CA-2014-143336,TEC-PH-10001949,Cisco SPA 501G IP Phone,16.011,3,West,20,213.48,5,5,01-09-2014,California,Active,14
ZD-21925,1,1,empty,empty,0.75,,Office Supplies,"Allentown, Altoona, Anaheim and 360 more",San Francisco,France,Zuschuss Donatelli,0.2,2,1,27-08-2014,94109,CA-2014-143336,OFF-BI-10002215,"Wilson Jones Hanging View Binder, White, 1""",7.384,4,West,21,22.72,5,5,01-09-2014,California,Active,4
TB-21520,1,1,empty,empty,0.75,,Furniture,"Allentown, Altoona, Anaheim and 360 more",Philadelphia,United States,Tracy Blumstein,0.5,2,1,17-09-2015,19140,US-2015-150630,FUR-BO-10004834,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",-1665.0522,7,East,28,3083.43,4,4,21-09-2015,Pennsylvania,Active,5
TB-21520,1,1,empty,empty,0.75,,Office Supplies,"Allentown, Altoona, Anaheim and 360 more",Philadelphia,United States,Tracy Blumstein,0.7,2,1,17-09-2015,19140,US-2015-150630,OFF-BI-10000474,Avery Recycled Flexi-View Covers for Binding Systems,-7.0532,2,East,29,9.618,4,4,21-09-2015,Pennsylvania,Active,4
TB-21520,1,1,empty,empty,0.75,,Furniture,"Allentown, Altoona, Anaheim and 360 more",Philadelphia,United States,Tracy Blumstein,0.2,2,1,17-09-2015,19140,US-2015-150630,FUR-FU-10004848,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",15.525,3,East,30,124.2,4,4,21-09-2015,Pennsylvania,Active,10
